model_id,batch_index,status,loop_start_utc,loop_end_utc,loop_duration_seconds,iterations_completed,tokens_used_total,final_iteration_success,reason
32,2,ok,2026-02-20T16:05:01.844939Z,2026-02-20T16:05:08.806808Z,6.961752167000668,1,588,True,
34,2,ok,2026-02-20T16:05:01.849330Z,2026-02-20T16:05:12.055630Z,10.206124834003276,2,2566,True,
37,2,ok,2026-02-20T16:05:12.067584Z,2026-02-20T16:05:20.035963Z,7.968272332989727,1,665,True,
31,2,ok,2026-02-20T16:05:01.844850Z,2026-02-20T16:05:20.416785Z,18.57159504199808,3,4229,True,
39,2,ok,2026-02-20T16:05:20.428710Z,2026-02-20T16:05:28.017043Z,7.5882262920058565,1,669,True,
38,2,ok,2026-02-20T16:05:20.041813Z,2026-02-20T16:05:30.190676Z,10.148690083995461,2,1475,True,
40,2,ok,2026-02-20T16:05:28.023560Z,2026-02-20T16:05:34.919906Z,6.896231541992165,1,647,True,
41,2,ok,2026-02-20T16:05:30.198854Z,2026-02-20T16:05:39.965914Z,9.76702962499985,2,2021,True,
35,2,ok,2026-02-20T16:05:32.103148Z,2026-02-20T16:05:42.762705Z,10.6593817499961,2,1771,True,
43,2,ok,2026-02-20T16:05:39.989542Z,2026-02-20T16:05:47.257064Z,7.267405417005648,1,712,True,
36,2,ok,2026-02-20T16:05:28.214680Z,2026-02-20T16:05:50.368219Z,22.153180249995785,5,6060,True,
44,2,ok,2026-02-20T16:05:42.771570Z,2026-02-20T16:05:51.244933Z,8.473213292003493,1,708,True,
45,2,ok,2026-02-20T16:05:47.268469Z,2026-02-20T16:05:54.353844Z,7.0852653330075555,1,590,True,
46,2,ok,2026-02-20T16:05:50.391534Z,2026-02-20T16:05:57.878032Z,7.486369375008508,1,698,True,
42,2,ok,2026-02-20T16:05:34.927862Z,2026-02-20T16:06:00.266568Z,25.338255708004,5,5736,True,
47,2,ok,2026-02-20T16:05:51.251790Z,2026-02-20T16:06:03.667630Z,12.415632709002239,2,2016,True,
48,2,ok,2026-02-20T16:05:54.359457Z,2026-02-20T16:06:07.608190Z,13.248501209003734,2,2421,True,
50,2,ok,2026-02-20T16:06:00.335456Z,2026-02-20T16:06:12.929425Z,12.593764625009499,2,2206,True,
49,2,ok,2026-02-20T16:05:57.883409Z,2026-02-20T16:06:15.937127Z,18.05339954199735,3,3219,True,
53,2,ok,2026-02-20T16:06:12.942755Z,2026-02-20T16:06:20.801275Z,7.858400040990091,1,768,True,
52,2,ok,2026-02-20T16:06:07.623171Z,2026-02-20T16:06:21.750392Z,14.126965083007235,3,3385,True,
51,2,ok,2026-02-20T16:06:03.678685Z,2026-02-20T16:06:33.262749Z,29.58353887499834,5,8750,True,
56,2,ok,2026-02-20T16:06:21.758643Z,2026-02-20T16:06:33.890242Z,12.131382708001183,4,3997,True,
54,2,ok,2026-02-20T16:06:15.951540Z,2026-02-20T16:06:40.913109Z,24.961113375000423,4,7355,True,
58,2,ok,2026-02-20T16:06:33.902242Z,2026-02-20T16:06:42.738145Z,8.835748707992025,1,726,True,
57,2,ok,2026-02-20T16:06:33.277236Z,2026-02-20T16:06:47.723867Z,14.446389040997019,3,3773,True,
55,2,ok,2026-02-20T16:06:20.809465Z,2026-02-20T16:06:49.361799Z,28.551811291006743,4,5650,True,
60,2,ok,2026-02-20T16:06:42.755274Z,2026-02-20T16:06:53.710108Z,10.954694499989273,2,2212,True,
59,2,ok,2026-02-20T16:06:40.925415Z,2026-02-20T16:06:53.882671Z,12.95701395800279,2,2416,True,
61,3,ok,2026-02-20T16:06:53.894560Z,2026-02-20T16:07:02.887272Z,8.99259933400026,1,736,True,
63,3,ok,2026-02-20T16:06:53.898174Z,2026-02-20T16:07:04.236492Z,10.338136666003265,2,2082,True,
64,3,ok,2026-02-20T16:06:53.899652Z,2026-02-20T16:07:10.222545Z,16.322619957994903,3,4885,True,
67,3,ok,2026-02-20T16:07:10.231685Z,2026-02-20T16:07:17.028614Z,6.796836124995025,1,610,True,
68,3,ok,2026-02-20T16:07:44.184635Z,2026-02-20T16:08:13.527623Z,29.342452083001263,3,4562,True,
65,3,ok,2026-02-20T16:07:47.611964Z,2026-02-20T16:08:17.242647Z,29.630156125000212,5,6966,True,
69,3,ok,2026-02-20T16:08:13.540386Z,2026-02-20T16:08:22.106370Z,8.565890875004698,1,670,True,
71,3,ok,2026-02-20T16:08:22.133487Z,2026-02-20T16:08:31.381216Z,9.247581417002948,1,794,True,
72,3,ok,2026-02-20T16:08:31.398380Z,2026-02-20T16:08:42.781679Z,11.383095624987618,1,950,True,
73,3,ok,2026-02-20T16:08:42.806175Z,2026-02-20T16:08:49.423588Z,6.617309624998597,1,673,True,
70,3,ok,2026-02-20T16:08:17.264493Z,2026-02-20T16:08:52.581317Z,35.31618149999122,4,8346,True,
75,3,ok,2026-02-20T16:08:52.597081Z,2026-02-20T16:08:58.685275Z,6.088098958993214,1,565,True,
76,3,ok,2026-02-20T16:08:58.697457Z,2026-02-20T16:09:04.081359Z,5.3838290000130655,1,556,True,
77,3,ok,2026-02-20T16:09:04.093705Z,2026-02-20T16:09:18.204614Z,14.110666415988817,2,2961,True,
74,3,ok,2026-02-20T16:08:49.429277Z,2026-02-20T16:09:19.288025Z,29.85821125000075,4,7349,True,
79,3,ok,2026-02-20T16:09:19.305903Z,2026-02-20T16:09:28.127073Z,8.821027000012691,1,804,True,
78,3,ok,2026-02-20T16:09:18.229668Z,2026-02-20T16:09:38.427939Z,20.197913750002044,3,3596,True,
81,3,ok,2026-02-20T16:09:38.451910Z,2026-02-20T16:09:46.861092Z,8.409047583001666,1,757,True,
80,3,ok,2026-02-20T16:09:28.136401Z,2026-02-20T16:09:49.251800Z,21.115029041000525,2,3694,True,
83,3,ok,2026-02-20T16:09:49.264479Z,2026-02-20T16:09:56.052737Z,6.788162249999004,1,585,True,
84,3,ok,2026-02-20T16:09:56.065121Z,2026-02-20T16:10:09.576480Z,13.511129540987895,1,705,True,
66,3,ok,2026-02-20T16:10:06.242418Z,2026-02-20T16:10:18.220207Z,11.97759320899786,2,2827,True,
85,3,ok,2026-02-20T16:10:09.587007Z,2026-02-20T16:10:23.634521Z,14.047327124993899,2,2402,True,
86,3,ok,2026-02-20T16:10:18.235754Z,2026-02-20T16:10:30.360204Z,12.124241708996124,2,1631,True,
87,3,ok,2026-02-20T16:10:23.646466Z,2026-02-20T16:10:31.846722Z,8.200115084007848,1,798,True,
62,3,ok,2026-02-20T16:10:19.697841Z,2026-02-20T16:10:34.989091Z,15.290998458003742,3,3959,True,
90,3,ok,2026-02-20T16:10:35.004914Z,2026-02-20T16:10:42.691471Z,7.68645112500235,1,731,True,
88,3,ok,2026-02-20T16:10:30.374918Z,2026-02-20T16:10:43.118936Z,12.74378158300533,2,2862,True,
89,3,ok,2026-02-20T16:10:31.855333Z,2026-02-20T16:10:43.537029Z,11.681479999999283,2,1982,True,
82,3,failed,2026-02-20T16:12:12.141027Z,2026-02-20T16:12:34.978992Z,22.83755983300216,5,6175,False,no iteration passed syside validation
91,4,ok,2026-02-20T16:12:35.015642Z,2026-02-20T16:12:41.003931Z,5.9882008749991655,1,617,True,
92,4,ok,2026-02-20T16:12:35.015442Z,2026-02-20T16:12:43.281312Z,8.265740334012662,1,701,True,
95,4,ok,2026-02-20T16:12:41.013555Z,2026-02-20T16:12:49.442047Z,8.428444083998329,1,744,True,
93,4,ok,2026-02-20T16:12:35.018886Z,2026-02-20T16:12:50.296256Z,15.277092207994428,2,3456,True,
96,4,ok,2026-02-20T16:12:43.294759Z,2026-02-20T16:12:53.470734Z,10.175800167009584,3,3908,True,
97,4,ok,2026-02-20T16:12:49.465566Z,2026-02-20T16:13:00.311572Z,10.845857291991706,2,2189,True,
98,4,ok,2026-02-20T16:12:50.367912Z,2026-02-20T16:13:01.192014Z,10.824025333000463,2,1351,True,
